noc_code,Occupation Name (Unit Group),Skill Type,Major Group,Minor Group,Skill Level,Total Employed (Canada 2015),Median Income (Canada 2015),Average Income (Canada 2015),Total Employed (Ontario 2015),Median Income (Ontario 2015),Average Income (Ontario 2015),Average Income Difference,Average Income Canadian Ratio,Future Labour Market Conditions (National 2013-2026)
2151,Architects,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,"215 Architects, urban planners and land surveyors",A,16280,61468,73272,6450,62539,77329,4057,0.05536903592095207,Balance
2152,Landscape architects,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,"215 Architects, urban planners and land surveyors",A,2050,55526,61185,920,56245,62936,1751,0.02861812535752227,Balance
2153,Urban and land use planners,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,"215 Architects, urban planners and land surveyors",A,12655,72542,74345,5550,70511,72031,-2314,-0.031125159728293765,NA
2154,Land surveyors,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,"215 Architects, urban planners and land surveyors",A,7980,65397,79732,2050,59583,84151,4419,0.05542316761149852,NA
2161,"Mathematicians, statisticians and actuaries",2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,"216 Mathematicians, statisticians and actuaries",A,12795,77230,94629,6640,81511,103070,8441,0.08920098489892105,Shortage
2171,Information systems analysts and consultants,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,217 Computer and information systems professionals,A,159900,74932,76121,83700,76407,76892,771,0.01012861102718041,Shortage
2172,Database analysts and data administrators,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,217 Computer and information systems professionals,A,21675,73204,74828,10530,75435,76574,1746,0.023333511519751965,Shortage
2173,Software engineers and designers,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,217 Computer and information systems professionals,A,47545,84606,88987,26005,86931,90338,1351,0.015181992875363818,Shortage
2174,Computer programmers and interactive media developers,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,217 Computer and information systems professionals,A,104085,68788,69345,47440,74028,72470,3125,0.04506453241041171,Shortage
2175,Web designers and developers,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,217 Computer and information systems professionals,A,25735,38794,42382,11570,40427,44160,1778,0.04195177197867019,Balance
2211,Chemical technologists and technicians,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,221 Technical occupations in physical sciences,B,24720,48615,54534,9695,49531,53703,-831,-0.01523820002200462,NA
2212,Geological and mineral technologists and technicians,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,221 Technical occupations in physical sciences,B,9220,66568,77774,2025,56128,63055,-14719,-0.18925347802607556,NA
2221,Biological technologists and technicians,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,222 Technical occupations in life sciences,B,10660,39579,41884,3145,38974,41727,-157,-0.0037484480947378475,Balance
2222,Agricultural and fish products inspectors,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,222 Technical occupations in life sciences,B,4625,63589,60236,1205,63441,58857,-1379,-0.02289328640679992,Balance
2223,Forestry technologists and technicians,2 Natural and applied sciences and related occupations,22 Technical occupations related to natural and applied sciences,222 Technical occupations in life sciences,B,7510,47526,49018,1205,47576,46224,-2794,-0.05699946958260231,NA
